age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y,age_normalized
57,0,1,6,0,0,0,1,6,1,211,1,999,0,1,0,1.7941579593571737
37,0,1,6,0,1,0,1,6,1,214,1,999,0,1,0,-0.2780105791873932
55,9,1,6,0,0,0,1,6,1,349,1,999,0,1,0,1.586941105502717
33,7,1,3,0,1,0,1,6,1,337,2,999,0,1,0,-0.6924442868963065
55,4,1,6,0,1,0,1,6,1,272,1,999,0,1,0,1.586941105502717
42,1,1,2,0,0,0,1,6,1,208,1,999,0,1,0,0.2400315554487485
50,1,1,0,0,1,0,1,6,1,193,1,999,0,1,0,1.0688989708665753
51,1,1,0,0,1,0,1,6,1,212,1,999,0,1,0,1.1725073977938036
38,0,1,3,0,0,0,1,6,1,165,2,999,0,1,0,-0.1744021522601648
38,9,0,6,0,0,1,1,6,1,20,1,999,0,1,0,-0.1744021522601648
31,0,2,3,0,0,0,1,6,1,246,1,999,0,1,0,-0.8996611407507632
41,4,1,1,0,0,0,1,6,1,529,2,999,0,1,0,0.1364231285215202
39,0,1,6,0,1,1,1,6,1,192,1,999,0,1,0,-0.0707937253329365
34,0,1,3,0,1,0,1,6,1,188,2,999,0,1,0,-0.5888358599690782
35,0,1,6,0,1,0,1,6,1,180,2,999,0,1,0,-0.4852274330418498
57,0,1,6,0,1,0,1,6,1,48,1,999,0,1,0,1.7941579593571737
60,0,1,6,0,0,1,1,6,1,213,2,999,0,1,0,2.104983240138859
33,10,1,2,0,0,0,1,6,1,545,1,999,0,1,0,-0.6924442868963065
42,1,1,1,0,0,1,1,6,1,583,1,999,0,1,0,0.2400315554487485
45,7,1,5,0,1,0,1,6,1,221,1,999,0,1,0,0.5508568362304336
42,4,1,6,0,0,0,1,6,1,426,1,999,0,1,0,0.2400315554487485
53,0,2,6,0,0,0,1,6,1,287,1,999,0,1,0,1.3797242516482604
37,9,0,5,0,0,0,1,6,1,197,1,999,0,1,0,-0.2780105791873932
44,1,1,1,0,0,0,1,6,1,257,1,999,0,1,0,0.4472484093032052
54,7,1,6,0,1,0,1,6,1,229,1,999,0,1,0,1.4833326785754886
49,1,1,0,0,0,0,1,6,1,55,3,999,0,1,0,0.965290543939347
54,7,1,6,0,0,0,1,6,1,400,1,999,0,1,0,1.4833326785754886
52,0,2,6,0,0,0,1,6,1,197,1,999,0,1,0,1.276115824721032
52,0,2,6,0,0,0,1,6,1,190,1,999,0,1,0,1.276115824721032
43,7,0,3,0,0,0,1,6,1,21,1,999,0,1,0,0.3436399823759768
34,3,1,1,0,1,0,1,6,1,300,2,999,0,1,0,-0.5888358599690782
35,0,1,3,0,1,0,1,6,1,123,2,999,0,1,0,-0.4852274330418498
42,2,1,6,0,1,0,1,6,1,293,1,999,0,1,0,0.2400315554487485
43,9,1,6,0,1,1,1,6,1,325,1,999,0,1,0,0.3436399823759768
60,5,2,6,0,0,0,1,6,1,514,1,999,0,1,0,2.104983240138859
58,10,1,0,0,0,0,1,6,1,849,2,999,0,1,0,1.897766386284402
35,7,2,3,0,1,0,1,6,1,194,1,999,0,1,0,-0.4852274330418498
55,1,1,2,0,1,0,1,6,1,212,2,999,0,1,0,1.586941105502717
37,4,1,6,0,0,0,1,6,1,337,2,999,0,1,0,-0.2780105791873932
36,1,1,3,0,0,0,1,6,1,286,1,999,0,1,0,-0.3816190061146215
52,0,2,6,0,0,0,1,6,1,247,2,999,0,1,0,1.276115824721032
57,1,2,6,0,1,0,1,6,1,518,1,999,0,1,0,1.7941579593571737
56,0,1,6,0,1,0,1,6,1,364,1,999,0,1,0,1.690549532429945
48,1,2,0,0,1,0,1,6,1,178,1,999,0,1,0,0.8616821170121186
40,1,1,3,0,1,0,1,6,1,98,1,999,0,1,0,0.0328147015942918
49,1,2,3,0,0,0,1,6,1,439,1,999,0,1,0,0.965290543939347
41,7,1,3,0,0,0,1,6,1,139,1,999,0,1,0,0.1364231285215202
45,9,1,3,0,1,0,1,6,1,79,1,999,0,1,0,0.5508568362304336
32,0,1,6,0,1,1,1,6,1,175,1,999,0,1,0,-0.7960527138235349
42,0,1,6,0,0,1,1,6,1,262,2,999,0,1,0,0.2400315554487485
50,0,1,1,0,0,0,1,6,1,61,1,999,0,1,0,1.0688989708665753
31,9,2,5,0,1,1,1,6,1,78,1,999,0,1,0,-0.8996611407507632
56,5,1,0,0,1,0,1,6,1,102,2,999,0,1,0,1.690549532429945
37,1,1,1,0,1,1,1,6,1,143,1,999,0,1,0,-0.2780105791873932
41,9,1,5,0,0,0,1,6,1,677,1,999,0,1,0,0.1364231285215202
35,1,1,6,0,1,0,1,6,1,267,1,999,0,1,0,-0.4852274330418498
37,1,1,1,0,1,0,1,6,1,345,1,999,0,1,0,-0.2780105791873932
52,4,1,6,0,0,0,1,6,1,185,1,999,0,1,0,1.276115824721032
39,4,2,6,0,0,0,1,6,1,207,1,999,0,1,0,-0.0707937253329365
39,3,1,0,0,0,0,1,6,1,69,2,999,0,1,0,-0.0707937253329365
56,1,1,0,0,0,0,1,6,1,100,2,999,0,1,0,1.690549532429945
34,7,1,3,0,1,0,1,6,1,125,2,999,0,1,0,-0.5888358599690782
43,10,0,6,0,1,0,1,6,1,240,1,999,0,1,0,0.3436399823759768
56,4,1,6,0,1,0,1,6,1,70,1,999,0,1,0,1.690549532429945
39,4,1,6,0,1,0,1,6,1,193,1,999,0,1,0,-0.0707937253329365
53,1,1,0,0,1,0,1,6,1,136,1,999,0,1,0,1.3797242516482604
38,0,2,3,0,1,0,1,6,1,73,1,999,0,1,0,-0.1744021522601648
42,1,1,0,0,1,0,1,6,1,528,1,999,0,1,0,0.2400315554487485
42,1,1,0,0,0,0,1,6,1,541,1,999,0,1,0,0.2400315554487485
35,0,0,3,0,1,0,1,6,1,338,1,999,0,1,0,-0.4852274330418498
40,0,1,6,0,1,0,1,6,1,163,1,999,0,1,0,0.0328147015942918
51,1,1,0,0,1,0,1,6,1,87,1,999,0,1,0,1.1725073977938036
60,1,1,2,0,0,0,1,6,1,301,1,999,0,1,0,2.104983240138859
56,2,1,6,0,1,0,1,6,1,46,1,999,0,1,0,1.690549532429945
39,7,2,3,0,1,0,1,6,1,52,1,999,0,1,0,-0.0707937253329365
56,2,1,6,0,0,0,1,6,1,204,1,999,0,1,0,1.690549532429945
40,1,1,6,0,1,1,1,6,1,155,1,999,0,1,0,0.0328147015942918
36,1,1,2,0,1,1,1,6,1,98,1,999,0,1,0,-0.3816190061146215
51,1,1,6,0,1,0,1,6,1,71,1,999,0,1,0,1.1725073977938036
51,1,1,6,0,0,0,1,6,1,243,1,999,0,1,0,1.1725073977938036
43,9,0,5,0,1,0,1,6,1,186,2,999,0,1,0,0.3436399823759768
59,7,1,3,0,0,0,1,6,1,579,2,999,0,1,0,2.0013748132116302
24,4,0,6,0,1,0,1,6,1,165,2,999,0,1,0,-1.6249201292413618
37,1,0,2,0,1,1,1,6,1,163,2,999,0,1,0,-0.2780105791873932
40,1,1,2,0,0,0,1,6,1,46,1,999,0,1,0,0.0328147015942918
42,1,1,2,0,0,0,1,6,1,559,3,999,0,1,0,0.2400315554487485
39,7,2,3,0,0,0,1,6,1,2033,1,999,0,1,0,-0.0707937253329365
37,2,1,1,0,0,0,1,6,1,85,1,999,0,1,0,-0.2780105791873932
38,7,1,3,0,1,1,1,6,1,506,1,999,0,1,0,-0.1744021522601648
56,0,2,6,0,0,0,1,6,1,114,2,999,0,1,0,1.690549532429945
40,1,1,6,0,0,0,1,6,1,114,2,999,0,1,0,0.0328147015942918
54,4,2,6,0,1,0,1,6,1,843,2,999,0,1,0,1.4833326785754886
43,1,1,3,0,0,1,1,6,1,181,1,999,0,1,0,0.3436399823759768
36,7,1,3,0,0,0,1,6,1,427,1,999,0,1,0,-0.3816190061146215
45,9,1,6,0,1,1,1,6,1,292,1,999,0,1,0,0.5508568362304336
42,0,0,6,0,0,0,1,6,1,192,1,999,0,1,0,0.2400315554487485
43,7,1,3,0,0,0,1,6,1,93,3,999,0,1,0,0.3436399823759768
46,4,1,2,0,0,0,1,6,1,128,2,999,0,1,0,0.654465263157662
44,7,1,3,0,1,1,1,6,1,107,1,999,0,1,0,0.4472484093032052
51,0,0,1,0,0,0,1,6,1,303,2,999,0,1,0,1.1725073977938036
28,7,1,3,0,1,0,1,6,1,81,1,999,0,1,0,-1.2104864215324482
37,1,1,2,0,0,0,1,6,1,270,1,999,0,1,0,-0.2780105791873932
34,9,1,3,0,0,0,1,6,1,228,1,999,0,1,0,-0.5888358599690782
46,1,1,1,0,1,0,1,6,1,240,1,999,0,1,0,0.654465263157662
36,0,1,6,0,1,0,1,6,1,233,3,999,0,1,0,-0.3816190061146215
54,1,1,0,0,0,0,1,6,1,102,1,999,0,1,0,1.4833326785754886
57,4,1,6,0,0,0,1,6,1,461,1,999,0,1,0,1.7941579593571737
51,9,1,1,0,0,0,1,6,1,250,1,999,0,1,0,1.1725073977938036
54,5,1,3,0,0,0,1,6,1,130,1,999,0,1,0,1.4833326785754886
49,1,1,0,0,0,0,1,6,1,252,1,999,0,1,0,0.965290543939347
34,0,1,6,0,1,0,1,6,1,138,1,999,0,1,0,-0.5888358599690782
41,9,1,5,0,0,0,1,6,1,412,1,999,0,1,0,0.1364231285215202
38,1,0,2,0,1,0,1,6,1,179,2,999,0,1,0,-0.1744021522601648
45,4,2,6,0,0,0,1,6,1,19,2,999,0,1,0,0.5508568362304336
42,9,1,6,0,0,0,1,6,1,228,2,999,0,1,0,0.2400315554487485
34,1,0,2,0,1,0,1,6,1,55,1,999,0,1,0,-0.5888358599690782
48,1,1,0,0,1,0,1,6,1,717,1,999,0,1,0,0.8616821170121186
37,0,1,3,0,1,0,1,6,1,313,1,999,0,1,0,-0.2780105791873932
34,1,0,2,0,0,0,1,6,1,289,1,999,0,1,0,-0.5888358599690782
40,0,1,2,0,1,0,1,6,1,683,2,999,0,1,0,0.0328147015942918
43,1,1,1,0,1,0,1,6,1,1077,1,999,0,1,0,0.3436399823759768
33,7,1,3,0,0,0,1,6,1,146,2,999,0,1,0,-0.6924442868963065
32,7,0,1,0,0,0,1,6,1,167,1,999,0,1,0,-0.7960527138235349
39,1,1,3,0,1,0,1,6,1,356,2,999,0,1,0,-0.0707937253329365
43,0,1,6,0,0,0,1,6,1,277,1,999,0,1,0,0.3436399823759768
44,1,1,2,0,1,0,1,6,1,172,1,999,0,1,0,0.4472484093032052
35,8,0,6,0,0,0,1,6,1,218,1,999,0,1,0,-0.4852274330418498
35,8,0,6,0,1,1,1,6,1,217,1,999,0,1,0,-0.4852274330418498
35,10,1,5,0,0,0,1,6,1,67,1,999,0,1,0,-0.4852274330418498
36,7,0,0,0,0,0,1,6,1,291,1,999,0,1,0,-0.3816190061146215
35,8,0,6,0,1,0,1,6,1,248,1,999,0,1,0,-0.4852274330418498
36,8,0,2,0,1,0,1,6,1,256,1,999,0,1,0,-0.3816190061146215
55,3,2,6,0,0,0,1,6,1,286,1,999,0,1,0,1.586941105502717
59,0,1,6,0,0,0,1,6,1,477,1,999,0,1,0,2.0013748132116302
57,5,1,6,0,0,0,1,6,1,611,2,999,0,1,0,1.7941579593571737
39,1,1,5,0,1,0,1,6,1,471,1,999,0,1,0,-0.0707937253329365
39,3,1,0,0,1,0,1,6,1,381,2,999,0,1,0,-0.0707937253329365
30,1,0,6,0,1,0,1,6,1,251,1,999,0,1,0,-1.0032695676779917
30,1,0,6,0,1,1,1,6,1,408,1,999,0,1,0,-1.0032695676779917
50,3,1,0,0,0,0,1,6,1,287,1,999,0,1,0,1.0688989708665753
40,7,1,3,0,0,0,1,6,1,322,3,999,0,1,0,0.0328147015942918
35,0,1,3,0,1,0,1,6,1,216,2,999,0,1,0,-0.4852274330418498
43,9,1,6,0,0,0,1,6,1,366,2,999,0,1,0,0.3436399823759768
36,7,0,1,0,1,0,1,6,1,210,1,999,0,1,0,-0.3816190061146215
46,9,1,0,0,1,0,1,6,1,288,1,999,0,1,0,0.654465263157662
40,9,1,2,0,0,0,1,6,1,168,1,999,0,1,0,0.0328147015942918
58,5,1,6,0,0,0,1,6,1,132,1,999,0,1,0,1.897766386284402
42,9,1,6,0,0,0,1,6,1,64,2,999,0,1,0,0.2400315554487485
35,0,0,6,0,0,0,1,6,1,209,2,999,0,1,0,-0.4852274330418498
43,5,1,0,0,0,0,1,6,1,410,3,999,0,1,0,0.3436399823759768
45,1,1,0,0,1,1,1,6,1,177,1,999,0,1,0,0.5508568362304336
39,0,1,5,0,1,0,1,6,1,580,2,999,0,1,0,-0.0707937253329365
50,7,2,5,0,1,0,1,6,1,165,1,999,0,1,0,1.0688989708665753
32,4,2,0,0,1,0,1,6,1,127,2,999,0,1,0,-0.7960527138235349
39,0,1,3,0,0,0,1,6,1,357,1,999,0,1,0,-0.0707937253329365
52,6,1,6,0,0,0,1,6,1,175,1,999,0,1,0,1.276115824721032
44,0,1,5,0,1,0,1,6,1,300,1,999,0,1,0,0.4472484093032052
56,1,1,0,0,0,0,1,6,1,136,1,999,0,1,0,1.690549532429945
48,0,1,3,0,0,0,1,6,1,125,2,999,0,1,0,0.8616821170121186
33,7,1,3,0,0,1,1,6,1,189,2,999,0,1,0,-0.6924442868963065
43,4,1,6,0,0,1,1,6,1,213,3,999,0,1,0,0.3436399823759768
57,5,1,3,0,0,0,1,6,1,238,2,999,0,1,0,1.7941579593571737
36,9,0,5,0,0,0,1,6,1,124,1,999,0,1,0,-0.3816190061146215
34,4,1,6,0,1,0,1,6,1,18,1,999,0,1,0,-0.5888358599690782
34,7,0,2,0,0,0,1,6,1,730,2,999,0,1,0,-0.5888358599690782
30,9,1,6,0,0,0,1,6,1,40,1,999,0,1,0,-1.0032695676779917
33,7,2,6,0,0,0,1,6,1,181,2,999,0,1,0,-0.6924442868963065
32,9,0,5,0,0,0,1,6,1,79,1,999,0,1,0,-0.7960527138235349
36,9,0,3,0,1,0,1,6,1,142,2,999,0,1,0,-0.3816190061146215
36,1,0,3,0,0,1,1,6,1,389,1,999,0,1,0,-0.3816190061146215
33,7,0,3,0,0,0,1,6,1,702,1,999,0,1,0,-0.6924442868963065
40,9,2,5,0,0,0,1,6,1,151,1,999,0,1,0,0.0328147015942918
41,1,1,0,0,1,0,1,6,1,211,1,999,0,1,0,0.1364231285215202
51,7,1,1,0,1,0,1,6,1,117,1,999,0,1,0,1.1725073977938036
36,9,1,5,0,1,0,1,6,1,232,3,999,0,1,0,-0.3816190061146215
28,7,1,6,0,0,0,1,6,1,408,2,999,0,1,0,-1.2104864215324482
53,7,1,3,0,1,1,1,6,1,370,3,999,0,1,0,1.3797242516482604
58,1,1,2,0,1,0,1,6,1,179,2,999,0,1,0,1.897766386284402
45,4,1,2,0,0,1,1,6,1,46,1,999,0,1,0,0.5508568362304336
43,9,1,6,0,1,0,1,6,1,200,1,999,0,1,0,0.3436399823759768
33,0,1,3,0,0,1,1,6,1,50,1,999,0,1,0,-0.6924442868963065
33,0,1,3,0,0,1,1,6,1,181,1,999,0,1,0,-0.6924442868963065
27,1,0,1,0,1,0,1,6,1,119,1,999,0,1,0,-1.3140948484596766
42,9,1,3,0,0,0,1,6,1,361,1,999,0,1,0,0.2400315554487485
43,0,2,2,0,0,0,1,6,1,73,3,999,0,1,0,0.3436399823759768
42,0,1,6,0,0,0,1,6,1,67,2,999,0,1,0,0.2400315554487485
27,1,0,1,0,0,0,1,6,1,350,1,999,0,1,0,-1.3140948484596766
34,6,0,6,0,1,0,1,6,1,150,2,999,0,1,0,-0.5888358599690782
31,8,0,6,0,0,0,1,6,1,332,2,999,0,1,0,-0.8996611407507632
54,4,2,6,0,0,0,1,6,1,611,2,999,0,1,0,1.4833326785754886
40,6,1,0,0,0,0,1,6,1,58,3,999,0,1,0,0.0328147015942918
52,10,1,3,0,1,0,1,6,1,151,1,999,0,1,0,1.276115824721032
47,4,2,6,0,0,0,1,6,1,89,2,999,0,1,0,0.7580736900848902
49,3,1,2,0,0,0,1,6,1,152,1,999,0,1,0,0.965290543939347
32,0,0,3,0,0,0,1,6,1,611,2,999,0,1,0,-0.7960527138235349
49,3,0,3,0,1,1,1,6,1,110,2,999,0,1,0,0.965290543939347
50,1,1,2,0,0,0,1,6,1,463,1,999,0,1,0,1.0688989708665753
34,7,1,3,0,0,0,1,6,1,962,1,999,0,1,0,-0.5888358599690782
55,1,1,0,0,0,0,1,6,1,102,2,999,0,1,0,1.586941105502717
47,9,0,2,0,0,0,1,6,1,10,4,999,0,1,0,0.7580736900848902
51,5,1,5,0,0,0,1,6,1,118,3,999,0,1,0,1.1725073977938036
47,1,1,1,0,0,0,1,6,1,92,2,999,0,1,0,0.7580736900848902
56,9,1,0,0,1,0,1,6,1,143,3,999,0,1,0,1.690549532429945
53,0,1,2,0,0,0,1,6,1,189,3,999,0,1,0,1.3797242516482604
36,1,1,2,0,1,0,1,6,1,75,2,999,0,1,0,-0.3816190061146215
42,1,2,2,0,1,0,1,6,1,189,2,999,0,1,0,0.2400315554487485
44,1,2,1,0,0,0,1,6,1,55,2,999,0,1,0,0.4472484093032052
37,0,0,3,0,1,1,1,6,1,56,2,999,0,1,0,-0.2780105791873932
60,1,1,6,0,1,0,1,6,1,5,2,999,0,1,0,2.104983240138859
36,7,1,3,0,0,0,1,6,1,225,2,999,0,1,0,-0.3816190061146215
42,4,2,6,0,1,0,1,6,1,125,2,999,0,1,0,0.2400315554487485
31,0,1,3,0,1,1,1,6,1,286,2,999,0,1,0,-0.8996611407507632
53,9,2,5,0,0,1,1,6,1,206,2,999,0,1,0,1.3797242516482604
45,1,1,0,0,1,0,1,6,1,164,2,999,0,1,0,0.5508568362304336
37,9,0,5,0,1,0,1,6,1,98,2,999,0,1,0,-0.2780105791873932
47,6,1,5,0,0,0,1,6,1,446,2,999,0,1,0,0.7580736900848902
49,1,2,3,0,0,1,1,6,1,742,2,999,0,1,0,0.965290543939347
36,0,1,6,0,1,0,1,6,1,120,2,999,0,1,0,-0.3816190061146215
35,7,2,3,0,0,0,1,6,1,122,3,999,0,1,0,-0.4852274330418498
38,0,1,6,0,0,0,1,6,1,362,4,999,0,1,0,-0.1744021522601648
38,7,0,3,0,0,0,1,6,1,357,2,999,0,1,0,-0.1744021522601648
50,1,2,3,0,0,1,1,6,1,200,2,999,0,1,0,1.0688989708665753
59,5,1,5,0,0,0,1,6,1,107,2,999,0,1,0,2.0013748132116302
43,0,1,6,0,1,0,1,6,1,267,2,999,0,1,0,0.3436399823759768
42,0,1,3,0,1,0,1,6,1,248,2,999,0,1,0,0.2400315554487485
40,0,1,1,0,1,0,1,6,1,215,2,999,0,1,0,0.0328147015942918
46,1,1,6,0,0,0,1,6,1,209,2,999,0,1,0,0.654465263157662
57,3,2,0,0,1,1,1,6,1,205,2,999,0,1,0,1.7941579593571737
42,0,1,6,0,1,0,1,6,1,261,3,999,0,1,0,0.2400315554487485
41,1,1,0,0,1,0,1,6,1,83,2,999,0,1,0,0.1364231285215202
54,4,2,6,0,1,0,1,6,1,106,3,999,0,1,0,1.4833326785754886
27,0,0,6,0,0,0,1,6,1,106,2,999,0,1,0,-1.3140948484596766
36,0,1,3,0,0,0,1,6,1,108,2,999,0,1,0,-0.3816190061146215
58,1,1,5,0,1,0,1,6,1,214,2,999,0,1,0,1.897766386284402
40,4,1,6,0,1,0,1,6,1,358,2,999,0,1,0,0.0328147015942918
34,0,0,2,0,0,0,1,6,1,453,2,999,0,1,0,-0.5888358599690782
33,0,2,3,0,0,0,1,6,1,364,2,999,0,1,0,-0.6924442868963065
56,5,1,1,0,0,0,1,6,1,136,2,999,0,1,0,1.690549532429945
42,1,1,2,0,0,0,1,6,1,173,2,999,0,1,0,0.2400315554487485
43,7,1,3,0,1,0,1,6,1,241,2,999,0,1,0,0.3436399823759768
54,4,0,2,0,1,0,1,6,1,224,3,999,0,1,0,1.4833326785754886
53,0,0,1,0,1,1,1,6,1,148,2,999,0,1,0,1.3797242516482604
42,9,0,6,0,0,0,1,6,1,230,2,999,0,1,0,0.2400315554487485
40,7,1,1,0,0,0,1,6,1,199,3,999,0,1,0,0.0328147015942918
54,9,1,5,0,1,1,1,6,1,196,2,999,0,1,0,1.4833326785754886
40,3,0,5,0,0,0,1,6,1,111,4,999,0,1,0,0.0328147015942918
26,0,0,6,0,1,0,1,6,1,231,3,999,0,1,0,-1.417703275386905
33,0,1,3,0,0,0,1,6,1,316,3,999,0,1,0,-0.6924442868963065
35,1,1,2,0,0,0,1,6,1,240,2,999,0,1,0,-0.4852274330418498
36,0,1,3,0,0,0,1,6,1,669,3,999,0,1,0,-0.3816190061146215
29,7,0,3,0,1,0,1,6,1,425,2,999,0,1,0,-1.10687799460522
36,1,1,2,0,1,0,1,6,1,121,2,999,0,1,0,-0.3816190061146215
35,4,1,3,0,1,0,1,6,1,174,5,999,0,1,0,-0.4852274330418498
50,6,0,6,0,0,1,1,6,1,88,5,999,0,1,0,1.0688989708665753
46,7,1,3,0,1,0,1,6,1,313,3,999,0,1,0,0.654465263157662
49,2,1,3,0,1,0,1,6,1,135,4,999,0,1,0,0.965290543939347
42,9,0,5,0,1,0,1,6,1,152,2,999,0,1,0,0.2400315554487485
36,1,0,3,0,1,1,1,6,1,402,3,999,0,1,0,-0.3816190061146215
55,1,1,2,0,1,0,1,6,1,221,2,999,0,1,0,1.586941105502717
41,4,1,6,0,0,0,1,6,1,213,2,999,0,1,0,0.1364231285215202
57,4,1,5,0,1,0,1,6,1,144,3,999,0,1,0,1.7941579593571737
32,7,0,3,0,1,0,1,6,1,158,3,999,0,1,0,-0.7960527138235349
49,0,1,2,0,0,0,1,6,1,220,3,999,0,1,0,0.965290543939347
57,0,1,6,0,1,0,1,6,1,325,2,999,0,1,0,1.7941579593571737
